geoName,Broker,year
North Dakota,0,2005-03-31
Ohio,16,2005-03-31
Oklahoma,0,2005-03-31
Oregon,0,2005-03-31
Pennsylvania,7,2005-03-31
Rhode Island,0,2005-03-31
South Carolina,0,2005-03-31
South Dakota,0,2005-03-31
Tennessee,20,2005-03-31
Texas,8,2005-03-31
Utah,0,2005-03-31
Vermont,0,2005-03-31
Virginia,8,2005-03-31
Washington,9,2005-03-31
West Virginia,100,2005-03-31
Wisconsin,0,2005-03-31
Wyoming,0,2005-03-31
Alabama,0,2005-04-30
Alaska,0,2005-04-30
Arizona,15,2005-04-30
Arkansas,0,2005-04-30
California,7,2005-04-30
Colorado,15,2005-04-30
Connecticut,0,2005-04-30
Delaware,0,2005-04-30
District of Columbia,0,2005-04-30
Florida,0,2005-04-30
Georgia,0,2005-04-30
Hawaii,0,2005-04-30
Idaho,0,2005-04-30
Illinois,0,2005-04-30
Indiana,0,2005-04-30
Iowa,38,2005-04-30
Kansas,0,2005-04-30
Kentucky,0,2005-04-30
Louisiana,100,2005-04-30
Maine,0,2005-04-30
Maryland,41,2005-04-30
Massachusetts,15,2005-04-30
Michigan,10,2005-04-30
Minnesota,0,2005-04-30
Mississippi,0,2005-04-30
Missouri,0,2005-04-30
Montana,0,2005-04-30
Nebraska,0,2005-04-30
Nevada,0,2005-04-30
New Hampshire,53,2005-04-30
New Jersey,0,2005-04-30
New Mexico,0,2005-04-30
New York,3,2005-04-30
North Carolina,0,2005-04-30
North Dakota,0,2005-04-30
Ohio,0,2005-04-30
Oklahoma,0,2005-04-30
Oregon,0,2005-04-30
Pennsylvania,7,2005-04-30
Rhode Island,0,2005-04-30
South Carolina,0,2005-04-30
South Dakota,0,2005-04-30
Tennessee,0,2005-04-30
Texas,4,2005-04-30
Utah,0,2005-04-30
Vermont,0,2005-04-30
Virginia,0,2005-04-30
Washington,0,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,0,2005-04-30
Wyoming,0,2005-04-30
Alabama,0,2005-05-31
Alaska,0,2005-05-31
Arizona,0,2005-05-31
Arkansas,100,2005-05-31
California,7,2005-05-31
Colorado,0,2005-05-31
Connecticut,27,2005-05-31
Delaware,0,2005-05-31
District of Columbia,0,2005-05-31
Florida,21,2005-05-31
Georgia,0,2005-05-31
Hawaii,77,2005-05-31
Idaho,0,2005-05-31
Illinois,8,2005-05-31
Indiana,0,2005-05-31
Iowa,0,2005-05-31
Kansas,0,2005-05-31
Kentucky,0,2005-05-31
Louisiana,0,2005-05-31
Maine,0,2005-05-31
Maryland,0,2005-05-31
Massachusetts,10,2005-05-31
Michigan,13,2005-05-31
Minnesota,0,2005-05-31
Mississippi,0,2005-05-31
Missouri,71,2005-05-31
Montana,0,2005-05-31
Nebraska,0,2005-05-31
Nevada,60,2005-05-31
New Hampshire,0,2005-05-31
New Jersey,11,2005-05-31
New Mexico,0,2005-05-31
New York,12,2005-05-31
North Carolina,15,2005-05-31
North Dakota,0,2005-05-31
Ohio,0,2005-05-31
Oklahoma,0,2005-05-31
Oregon,0,2005-05-31
Pennsylvania,19,2005-05-31
Rhode Island,0,2005-05-31
South Carolina,0,2005-05-31
South Dakota,0,2005-05-31
Tennessee,0,2005-05-31
Texas,0,2005-05-31
Utah,0,2005-05-31
Vermont,0,2005-05-31
Virginia,10,2005-05-31
Washington,11,2005-05-31
West Virginia,0,2005-05-31
Wisconsin,0,2005-05-31
Wyoming,0,2005-05-31
Alabama,0,2005-06-30
Alaska,0,2005-06-30
Arizona,21,2005-06-30
Arkansas,0,2005-06-30
California,19,2005-06-30
Colorado,0,2005-06-30
Connecticut,33,2005-06-30
Delaware,0,2005-06-30
District of Columbia,0,2005-06-30
Florida,8,2005-06-30
Georgia,0,2005-06-30
Hawaii,84,2005-06-30
Idaho,0,2005-06-30
Illinois,8,2005-06-30
Indiana,0,2005-06-30
Iowa,0,2005-06-30
Kansas,49,2005-06-30
Kentucky,0,2005-06-30
Louisiana,0,2005-06-30
Maine,0,2005-06-30
Maryland,20,2005-06-30
Massachusetts,12,2005-06-30
Michigan,0,2005-06-30
Minnesota,22,2005-06-30
Mississippi,0,2005-06-30
Missouri,20,2005-06-30
Montana,0,2005-06-30
Nebraska,0,2005-06-30
Nevada,0,2005-06-30
New Hampshire,0,2005-06-30
New Jersey,13,2005-06-30
New Mexico,100,2005-06-30
New York,15,2005-06-30
North Carolina,0,2005-06-30
North Dakota,0,2005-06-30
Ohio,0,2005-06-30
Oklahoma,0,2005-06-30
Oregon,0,2005-06-30
Pennsylvania,0,2005-06-30
Rhode Island,0,2005-06-30
South Carolina,0,2005-06-30
South Dakota,0,2005-06-30
Tennessee,0,2005-06-30
Texas,6,2005-06-30
Utah,0,2005-06-30
Vermont,0,2005-06-30
Virginia,0,2005-06-30
Washington,0,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,0,2005-06-30
Wyoming,0,2005-06-30
Alabama,18,2005-07-31
Alaska,0,2005-07-31
Arizona,0,2005-07-31
Arkansas,0,2005-07-31
California,7,2005-07-31
Colorado,0,2005-07-31
Connecticut,12,2005-07-31
Delaware,0,2005-07-31
District of Columbia,26,2005-07-31
Florida,6,2005-07-31
Georgia,12,2005-07-31
Hawaii,0,2005-07-31
Idaho,0,2005-07-31
Illinois,6,2005-07-31
Indiana,0,2005-07-31
Iowa,0,2005-07-31
Kansas,17,2005-07-31
Kentucky,0,2005-07-31
Louisiana,0,2005-07-31
Maine,0,2005-07-31
Maryland,0,2005-07-31
Massachusetts,8,2005-07-31
Michigan,0,2005-07-31
Minnesota,15,2005-07-31
Mississippi,0,2005-07-31
Missouri,7,2005-07-31
Montana,0,2005-07-31
Nebraska,0,2005-07-31
Nevada,24,2005-07-31
New Hampshire,0,2005-07-31
New Jersey,5,2005-07-31
New Mexico,0,2005-07-31
New York,18,2005-07-31
North Carolina,0,2005-07-31
North Dakota,100,2005-07-31
Ohio,0,2005-07-31
Oklahoma,0,2005-07-31
Oregon,0,2005-07-31
Pennsylvania,0,2005-07-31
Rhode Island,0,2005-07-31
South Carolina,18,2005-07-31
South Dakota,0,2005-07-31
Tennessee,0,2005-07-31
Texas,2,2005-07-31
Utah,0,2005-07-31
Vermont,0,2005-07-31
Virginia,0,2005-07-31
Washington,10,2005-07-31
West Virginia,0,2005-07-31
Wisconsin,0,2005-07-31
Wyoming,0,2005-07-31
Alabama,99,2005-08-31
Alaska,0,2005-08-31
Arizona,0,2005-08-31
Arkansas,0,2005-08-31
California,17,2005-08-31
Colorado,0,2005-08-31
Connecticut,0,2005-08-31
Delaware,0,2005-08-31
District of Columbia,0,2005-08-31
Florida,47,2005-08-31
Georgia,0,2005-08-31
Hawaii,0,2005-08-31
Idaho,0,2005-08-31
Illinois,0,2005-08-31
Indiana,0,2005-08-31
Iowa,0,2005-08-31
Kansas,100,2005-08-31
Kentucky,0,2005-08-31
Louisiana,0,2005-08-31
Maine,0,2005-08-31
Maryland,0,2005-08-31
Massachusetts,0,2005-08-31
Michigan,0,2005-08-31
Minnesota,43,2005-08-31
Mississippi,0,2005-08-31
Missouri,40,2005-08-31
Montana,0,2005-08-31
Nebraska,0,2005-08-31
Nevada,0,2005-08-31
New Hampshire,0,2005-08-31
New Jersey,0,2005-08-31
New Mexico,0,2005-08-31
New York,10,2005-08-31
North Carolina,66,2005-08-31
North Dakota,0,2005-08-31
Ohio,26,2005-08-31
Oklahoma,0,2005-08-31
Oregon,0,2005-08-31
Pennsylvania,21,2005-08-31
Rhode Island,0,2005-08-31
South Carolina,99,2005-08-31
South Dakota,0,2005-08-31
Tennessee,0,2005-08-31
Texas,37,2005-08-31
Utah,0,2005-08-31
Vermont,0,2005-08-31
Virginia,0,2005-08-31
Washington,85,2005-08-31
West Virginia,0,2005-08-31
Wisconsin,0,2005-08-31
Wyoming,0,2005-08-31
Alabama,0,2005-09-30
Alaska,0,2005-09-30
Arizona,0,2005-09-30
Arkansas,0,2005-09-30
California,9,2005-09-30
Colorado,0,2005-09-30
Connecticut,0,2005-09-30
Delaware,0,2005-09-30
District of Columbia,0,2005-09-30
Florida,7,2005-09-30
Georgia,9,2005-09-30
Hawaii,0,2005-09-30
Idaho,0,2005-09-30
Illinois,0,2005-09-30
Indiana,0,2005-09-30
Iowa,0,2005-09-30
Kansas,0,2005-09-30
Kentucky,0,2005-09-30
Louisiana,0,2005-09-30
Maine,0,2005-09-30
Maryland,16,2005-09-30
Massachusetts,9,2005-09-30
Michigan,0,2005-09-30
Minnesota,0,2005-09-30
Mississippi,100,2005-09-30
Missouri,0,2005-09-30
Montana,0,2005-09-30
Nebraska,0,2005-09-30
Nevada,0,2005-09-30
New Hampshire,0,2005-09-30
New Jersey,0,2005-09-30
New Mexico,0,2005-09-30
New York,15,2005-09-30
North Carolina,13,2005-09-30
North Dakota,0,2005-09-30
Ohio,0,2005-09-30
Oklahoma,43,2005-09-30
Oregon,0,2005-09-30
Pennsylvania,15,2005-09-30
Rhode Island,0,2005-09-30
South Carolina,0,2005-09-30
South Dakota,0,2005-09-30
Tennessee,0,2005-09-30
Texas,5,2005-09-30
Utah,0,2005-09-30
Vermont,0,2005-09-30
Virginia,0,2005-09-30
Washington,0,2005-09-30
West Virginia,0,2005-09-30
Wisconsin,0,2005-09-30
Wyoming,0,2005-09-30
Alabama,0,2005-10-31
Alaska,0,2005-10-31
Arizona,0,2005-10-31
Arkansas,0,2005-10-31
California,21,2005-10-31
Colorado,0,2005-10-31
Connecticut,56,2005-10-31
Delaware,0,2005-10-31
District of Columbia,0,2005-10-31
Florida,15,2005-10-31
Georgia,0,2005-10-31
Hawaii,0,2005-10-31
Idaho,0,2005-10-31
Illinois,31,2005-10-31
Indiana,0,2005-10-31
Iowa,0,2005-10-31
Kansas,0,2005-10-31
Kentucky,0,2005-10-31
Louisiana,0,2005-10-31
Maine,0,2005-10-31
Maryland,0,2005-10-31
Massachusetts,62,2005-10-31
Michigan,0,2005-10-31
Minnesota,0,2005-10-31
Mississippi,0,2005-10-31
Missouri,36,2005-10-31
Montana,0,2005-10-31
Nebraska,0,2005-10-31
Nevada,0,2005-10-31
New Hampshire,0,2005-10-31
New Jersey,0,2005-10-31
New Mexico,0,2005-10-31
New York,17,2005-10-31
North Carolina,59,2005-10-31
North Dakota,0,2005-10-31
Ohio,0,2005-10-31
Oklahoma,100,2005-10-31
Oregon,48,2005-10-31
Pennsylvania,0,2005-10-31
Rhode Island,0,2005-10-31
South Carolina,90,2005-10-31
South Dakota,0,2005-10-31
Tennessee,0,2005-10-31
Texas,33,2005-10-31
Utah,0,2005-10-31
Vermont,0,2005-10-31
Virginia,22,2005-10-31
Washington,24,2005-10-31
West Virginia,0,2005-10-31
Wisconsin,40,2005-10-31
Wyoming,0,2005-10-31
Alabama,0,2005-11-30
Alaska,0,2005-11-30
Arizona,29,2005-11-30
Arkansas,0,2005-11-30
California,24,2005-11-30
Colorado,60,2005-11-30
Connecticut,0,2005-11-30
Delaware,0,2005-11-30
District of Columbia,34,2005-11-30
Florida,0,2005-11-30
Georgia,0,2005-11-30
Hawaii,0,2005-11-30
Idaho,0,2005-11-30
Illinois,24,2005-11-30
Indiana,0,2005-11-30
Iowa,0,2005-11-30
Kansas,0,2005-11-30
Kentucky,0,2005-11-30
Louisiana,0,2005-11-30
Maine,0,2005-11-30
Maryland,0,2005-11-30
Massachusetts,0,2005-11-30
Michigan,0,2005-11-30
Minnesota,57,2005-11-30
Mississippi,0,2005-11-30
Missouri,0,2005-11-30
Montana,0,2005-11-30
Nebraska,100,2005-11-30
Nevada,0,2005-11-30
New Hampshire,0,2005-11-30
New Jersey,34,2005-11-30
New Mexico,0,2005-11-30
New York,20,2005-11-30
North Carolina,23,2005-11-30
North Dakota,0,2005-11-30
Ohio,0,2005-11-30
Oklahoma,0,2005-11-30
Oregon,0,2005-11-30
Pennsylvania,14,2005-11-30
Rhode Island,0,2005-11-30
South Carolina,0,2005-11-30
South Dakota,0,2005-11-30
Tennessee,0,2005-11-30
Texas,9,2005-11-30
Utah,0,2005-11-30
Vermont,0,2005-11-30
Virginia,17,2005-11-30
Washington,19,2005-11-30
West Virginia,0,2005-11-30
Wisconsin,0,2005-11-30
Wyoming,0,2005-11-30
Alabama,0,2005-12-31
Alaska,0,2005-12-31
Arizona,0,2005-12-31
Arkansas,0,2005-12-31
California,19,2005-12-31
Colorado,0,2005-12-31
Connecticut,25,2005-12-31
Delaware,0,2005-12-31
District of Columbia,40,2005-12-31
Florida,6,2005-12-31
Georgia,9,2005-12-31
Hawaii,69,2005-12-31
Idaho,0,2005-12-31
Illinois,21,2005-12-31
Indiana,0,2005-12-31
Iowa,0,2005-12-31
Kansas,0,2005-12-31
Kentucky,0,2005-12-31
Louisiana,0,2005-12-31
Maine,0,2005-12-31
Maryland,34,2005-12-31
Massachusetts,0,2005-12-31
Michigan,0,2005-12-31
Minnesota,0,2005-12-31
Mississippi,100,2005-12-31
Missouri,16,2005-12-31
Montana,0,2005-12-31
Nebraska,59,2005-12-31
Nevada,55,2005-12-31
New Hampshire,0,2005-12-31
New Jersey,20,2005-12-31
New Mexico,0,2005-12-31
New York,0,2005-12-31
North Carolina,0,2005-12-31
North Dakota,0,2005-12-31
Ohio,0,2005-12-31
Oklahoma,0,2005-12-31
Oregon,0,2005-12-31
Pennsylvania,8,2005-12-31
Rhode Island,0,2005-12-31
South Carolina,0,2005-12-31
South Dakota,0,2005-12-31
Tennessee,24,2005-12-31
Texas,15,2005-12-31
Utah,0,2005-12-31
Vermont,0,2005-12-31
Virginia,0,2005-12-31
Washington,11,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,0,2005-12-31
Wyoming,0,2005-12-31
Alabama,19,2006-01-31
Alaska,0,2006-01-31
Arizona,0,2006-01-31
Arkansas,0,2006-01-31
California,8,2006-01-31
Colorado,8,2006-01-31
Connecticut,0,2006-01-31
Delaware,72,2006-01-31
District of Columbia,10,2006-01-31
Florida,0,2006-01-31
Georgia,4,2006-01-31
Hawaii,0,2006-01-31
Idaho,0,2006-01-31
Illinois,7,2006-01-31
Indiana,0,2006-01-31
Iowa,0,2006-01-31
Kansas,0,2006-01-31
Kentucky,0,2006-01-31
Louisiana,0,2006-01-31
Maine,0,2006-01-31
Maryland,0,2006-01-31
Massachusetts,13,2006-01-31
Michigan,0,2006-01-31
Minnesota,16,2006-01-31
Mississippi,0,2006-01-31
Missouri,0,2006-01-31
Montana,0,2006-01-31
Nebraska,0,2006-01-31
Nevada,0,2006-01-31
New Hampshire,0,2006-01-31
New Jersey,10,2006-01-31
New Mexico,0,2006-01-31
New York,9,2006-01-31
North Carolina,0,2006-01-31
North Dakota,0,2006-01-31
Ohio,0,2006-01-31
Oklahoma,0,2006-01-31
Oregon,0,2006-01-31
Pennsylvania,4,2006-01-31
Rhode Island,0,2006-01-31
South Carolina,0,2006-01-31
South Dakota,0,2006-01-31
Tennessee,0,2006-01-31
Texas,7,2006-01-31
Utah,0,2006-01-31
Vermont,0,2006-01-31
Virginia,5,2006-01-31
Washington,11,2006-01-31
West Virginia,0,2006-01-31
Wisconsin,0,2006-01-31
Wyoming,100,2006-01-31
Alabama,0,2006-02-28
Alaska,0,2006-02-28
Arizona,25,2006-02-28
Arkansas,0,2006-02-28
California,9,2006-02-28
Colorado,0,2006-02-28
Connecticut,19,2006-02-28
Delaware,0,2006-02-28
District of Columbia,0,2006-02-28
Florida,10,2006-02-28
Georgia,0,2006-02-28
Hawaii,0,2006-02-28
Idaho,0,2006-02-28
Illinois,16,2006-02-28
Indiana,0,2006-02-28
Iowa,0,2006-02-28
Kansas,0,2006-02-28
Kentucky,0,2006-02-28
Louisiana,0,2006-02-28
Maine,0,2006-02-28
Maryland,0,2006-02-28
Massachusetts,0,2006-02-28
Michigan,18,2006-02-28
Minnesota,13,2006-02-28
Mississippi,0,2006-02-28
Missouri,12,2006-02-28
Montana,0,2006-02-28
Nebraska,0,2006-02-28
Nevada,0,2006-02-28
New Hampshire,100,2006-02-28
New Jersey,0,2006-02-28
New Mexico,0,2006-02-28
New York,9,2006-02-28
North Carolina,10,2006-02-28
North Dakota,0,2006-02-28
Ohio,8,2006-02-28
Oklahoma,0,2006-02-28
Oregon,50,2006-02-28
Pennsylvania,6,2006-02-28
Rhode Island,52,2006-02-28
South Carolina,0,2006-02-28
South Dakota,0,2006-02-28
Tennessee,19,2006-02-28
Texas,12,2006-02-28
Utah,0,2006-02-28
Vermont,0,2006-02-28
Virginia,23,2006-02-28
Washington,0,2006-02-28
West Virginia,0,2006-02-28
Wisconsin,0,2006-02-28
Wyoming,0,2006-02-28
Alabama,0,2006-03-31
Alaska,0,2006-03-31
Arizona,42,2006-03-31
Arkansas,0,2006-03-31
California,15,2006-03-31
Colorado,22,2006-03-31
Connecticut,0,2006-03-31
Delaware,0,2006-03-31
District of Columbia,26,2006-03-31
Florida,32,2006-03-31
Georgia,0,2006-03-31
Hawaii,0,2006-03-31
Idaho,0,2006-03-31
Illinois,27,2006-03-31
Indiana,0,2006-03-31
Iowa,0,2006-03-31
Kansas,0,2006-03-31
Kentucky,75,2006-03-31
Louisiana,0,2006-03-31
Maine,0,2006-03-31
Maryland,22,2006-03-31
Massachusetts,37,2006-03-31
Michigan,16,2006-03-31
Minnesota,22,2006-03-31
Mississippi,0,2006-03-31
Missouri,42,2006-03-31
Montana,0,2006-03-31
Nebraska,0,2006-03-31
Nevada,67,2006-03-31
New Hampshire,0,2006-03-31
New Jersey,42,2006-03-31
New Mexico,100,2006-03-31
New York,21,2006-03-31
North Carolina,17,2006-03-31
North Dakota,0,2006-03-31
Ohio,13,2006-03-31
Oklahoma,0,2006-03-31
Oregon,0,2006-03-31
Pennsylvania,10,2006-03-31
Rhode Island,0,2006-03-31
South Carolina,0,2006-03-31
South Dakota,0,2006-03-31
Tennessee,31,2006-03-31
Texas,13,2006-03-31
Utah,0,2006-03-31
Vermont,0,2006-03-31
Virginia,13,2006-03-31
Washington,15,2006-03-31
West Virginia,0,2006-03-31
Wisconsin,46,2006-03-31
Wyoming,0,2006-03-31
Alabama,0,2006-04-30
Alaska,0,2006-04-30
Arizona,7,2006-04-30
Arkansas,0,2006-04-30
California,4,2006-04-30
Colorado,23,2006-04-30
Connecticut,0,2006-04-30
Delaware,0,2006-04-30
District of Columbia,9,2006-04-30
Florida,6,2006-04-30
Georgia,8,2006-04-30
Hawaii,0,2006-04-30
Idaho,0,2006-04-30
Illinois,3,2006-04-30
Indiana,0,2006-04-30
Iowa,21,2006-04-30
Kansas,0,2006-04-30
Kentucky,22,2006-04-30
Louisiana,0,2006-04-30
Maine,32,2006-04-30
Maryland,7,2006-04-30
Massachusetts,13,2006-04-30
Michigan,0,2006-04-30
Minnesota,8,2006-04-30
Mississippi,0,2006-04-30
Missouri,7,2006-04-30
Montana,67,2006-04-30
Nebraska,0,2006-04-30
Nevada,0,2006-04-30
New Hampshire,0,2006-04-30
New Jersey,5,2006-04-30
New Mexico,0,2006-04-30
New York,4,2006-04-30
North Carolina,0,2006-04-30
North Dakota,0,2006-04-30
Ohio,9,2006-04-30
Oklahoma,0,2006-04-30
Oregon,9,2006-04-30
Pennsylvania,0,2006-04-30
Rhode Island,0,2006-04-30
South Carolina,0,2006-04-30
South Dakota,0,2006-04-30
Tennessee,0,2006-04-30
Texas,4,2006-04-30
Utah,18,2006-04-30
Vermont,0,2006-04-30
Virginia,0,2006-04-30
Washington,19,2006-04-30
West Virginia,0,2006-04-30
Wisconsin,0,2006-04-30
Wyoming,100,2006-04-30
Alabama,0,2006-05-31
Alaska,0,2006-05-31
Arizona,66,2006-05-31
Arkansas,0,2006-05-31
California,12,2006-05-31
Colorado,23,2006-05-31
Connecticut,0,2006-05-31
Delaware,0,2006-05-31
District of Columbia,49,2006-05-31
Florida,33,2006-05-31
Georgia,12,2006-05-31
Hawaii,0,2006-05-31
Idaho,0,2006-05-31
Illinois,19,2006-05-31
Indiana,0,2006-05-31
Iowa,0,2006-05-31
Kansas,0,2006-05-31
Kentucky,0,2006-05-31
Louisiana,0,2006-05-31
Maine,100,2006-05-31
Maryland,0,2006-05-31
Massachusetts,0,2006-05-31
Michigan,34,2006-05-31
Minnesota,23,2006-05-31
Mississippi,0,2006-05-31
Missouri,0,2006-05-31
Montana,0,2006-05-31
Nebraska,84,2006-05-31
Nevada,66,2006-05-31
New Hampshire,0,2006-05-31
New Jersey,13,2006-05-31
New Mexico,0,2006-05-31
New York,42,2006-05-31
North Carolina,18,2006-05-31
North Dakota,0,2006-05-31
Ohio,14,2006-05-31
Oklahoma,0,2006-05-31
Oregon,29,2006-05-31
Pennsylvania,11,2006-05-31
Rhode Island,0,2006-05-31
South Carolina,0,2006-05-31
South Dakota,0,2006-05-31
Tennessee,0,2006-05-31
Texas,20,2006-05-31
Utah,56,2006-05-31
Vermont,0,2006-05-31
Virginia,0,2006-05-31
Washington,29,2006-05-31
West Virginia,0,2006-05-31
Wisconsin,0,2006-05-31
Wyoming,0,2006-05-31
Alabama,0,2006-06-30
Alaska,0,2006-06-30
Arizona,0,2006-06-30
Arkansas,0,2006-06-30
California,9,2006-06-30
Colorado,11,2006-06-30
Connecticut,0,2006-06-30
Delaware,0,2006-06-30
District of Columbia,0,2006-06-30
Florida,12,2006-06-30
Georgia,12,2006-06-30
Hawaii,0,2006-06-30
Idaho,0,2006-06-30
Illinois,14,2006-06-30
Indiana,0,2006-06-30
Iowa,0,2006-06-30
Kansas,0,2006-06-30
Kentucky,0,2006-06-30
Louisiana,0,2006-06-30
Maine,0,2006-06-30
Maryland,11,2006-06-30
Massachusetts,6,2006-06-30
Michigan,8,2006-06-30
Minnesota,0,2006-06-30
Mississippi,0,2006-06-30
Missouri,11,2006-06-30
Montana,100,2006-06-30
Nebraska,0,2006-06-30
Nevada,0,2006-06-30
New Hampshire,0,2006-06-30
New Jersey,21,2006-06-30
New Mexico,0,2006-06-30
New York,17,2006-06-30
North Carolina,9,2006-06-30
North Dakota,0,2006-06-30
Ohio,14,2006-06-30
Oklahoma,0,2006-06-30
Oregon,0,2006-06-30
Pennsylvania,6,2006-06-30
Rhode Island,0,2006-06-30
South Carolina,0,2006-06-30
South Dakota,0,2006-06-30
Tennessee,0,2006-06-30
Texas,16,2006-06-30
Utah,27,2006-06-30
Vermont,0,2006-06-30
Virginia,0,2006-06-30
Washington,7,2006-06-30
West Virginia,0,2006-06-30
Wisconsin,24,2006-06-30
Wyoming,0,2006-06-30
Alabama,0,2006-07-31
Alaska,100,2006-07-31
Arizona,0,2006-07-31
Arkansas,0,2006-07-31
California,17,2006-07-31
Colorado,40,2006-07-31
Connecticut,0,2006-07-31
Delaware,0,2006-07-31
District of Columbia,30,2006-07-31
Florida,10,2006-07-31
Georgia,14,2006-07-31
Hawaii,52,2006-07-31
Idaho,77,2006-07-31
Illinois,11,2006-07-31
Indiana,0,2006-07-31
Iowa,0,2006-07-31
Kansas,0,2006-07-31
Kentucky,0,2006-07-31
Louisiana,0,2006-07-31
Maine,0,2006-07-31
Maryland,14,2006-07-31
Massachusetts,0,2006-07-31
Michigan,10,2006-07-31
Minnesota,0,2006-07-31
Mississippi,0,2006-07-31
Missouri,0,2006-07-31
Montana,0,2006-07-31
Nebraska,48,2006-07-31
Nevada,0,2006-07-31
New Hampshire,0,2006-07-31
New Jersey,8,2006-07-31
New Mexico,0,2006-07-31
New York,34,2006-07-31
North Carolina,10,2006-07-31
North Dakota,0,2006-07-31
Ohio,0,2006-07-31
Oklahoma,0,2006-07-31
Oregon,18,2006-07-31
Pennsylvania,7,2006-07-31
Rhode Island,61,2006-07-31
South Carolina,0,2006-07-31
South Dakota,0,2006-07-31
Tennessee,19,2006-07-31
Texas,4,2006-07-31
Utah,0,2006-07-31
Vermont,94,2006-07-31
Virginia,8,2006-07-31
Washington,19,2006-07-31
West Virginia,0,2006-07-31
Wisconsin,0,2006-07-31
Wyoming,0,2006-07-31
Alabama,0,2006-08-31
