geoName,zillow,year
North Dakota,0,2005-03-31
Ohio,0,2005-03-31
Oklahoma,0,2005-03-31
Oregon,0,2005-03-31
Pennsylvania,0,2005-03-31
Rhode Island,0,2005-03-31
South Carolina,0,2005-03-31
South Dakota,0,2005-03-31
Tennessee,0,2005-03-31
Texas,0,2005-03-31
Utah,0,2005-03-31
Vermont,0,2005-03-31
Virginia,0,2005-03-31
Washington,100,2005-03-31
West Virginia,0,2005-03-31
Wisconsin,0,2005-03-31
Wyoming,0,2005-03-31
Alabama,0,2005-04-30
Alaska,0,2005-04-30
Arizona,0,2005-04-30
Arkansas,0,2005-04-30
California,0,2005-04-30
Colorado,0,2005-04-30
Connecticut,0,2005-04-30
Delaware,0,2005-04-30
District of Columbia,0,2005-04-30
Florida,0,2005-04-30
Georgia,0,2005-04-30
Hawaii,0,2005-04-30
Idaho,0,2005-04-30
Illinois,0,2005-04-30
Indiana,0,2005-04-30
Iowa,0,2005-04-30
Kansas,0,2005-04-30
Kentucky,0,2005-04-30
Louisiana,0,2005-04-30
Maine,0,2005-04-30
Maryland,0,2005-04-30
Massachusetts,0,2005-04-30
Michigan,0,2005-04-30
Minnesota,0,2005-04-30
Mississippi,0,2005-04-30
Missouri,0,2005-04-30
Montana,0,2005-04-30
Nebraska,0,2005-04-30
Nevada,0,2005-04-30
New Hampshire,0,2005-04-30
New Jersey,0,2005-04-30
New Mexico,0,2005-04-30
New York,0,2005-04-30
North Carolina,0,2005-04-30
North Dakota,0,2005-04-30
Ohio,0,2005-04-30
Oklahoma,0,2005-04-30
Oregon,0,2005-04-30
Pennsylvania,0,2005-04-30
Rhode Island,0,2005-04-30
South Carolina,0,2005-04-30
South Dakota,0,2005-04-30
Tennessee,0,2005-04-30
Texas,0,2005-04-30
Utah,0,2005-04-30
Vermont,0,2005-04-30
Virginia,0,2005-04-30
Washington,0,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,0,2005-04-30
Wyoming,0,2005-04-30
Alabama,0,2005-05-31
Alaska,0,2005-05-31
Arizona,0,2005-05-31
Arkansas,0,2005-05-31
California,0,2005-05-31
Colorado,0,2005-05-31
Connecticut,0,2005-05-31
Delaware,0,2005-05-31
District of Columbia,0,2005-05-31
Florida,0,2005-05-31
Georgia,0,2005-05-31
Hawaii,0,2005-05-31
Idaho,0,2005-05-31
Illinois,0,2005-05-31
Indiana,0,2005-05-31
Iowa,0,2005-05-31
Kansas,0,2005-05-31
Kentucky,0,2005-05-31
Louisiana,0,2005-05-31
Maine,0,2005-05-31
Maryland,0,2005-05-31
Massachusetts,0,2005-05-31
Michigan,0,2005-05-31
Minnesota,0,2005-05-31
Mississippi,0,2005-05-31
Missouri,0,2005-05-31
Montana,0,2005-05-31
Nebraska,0,2005-05-31
Nevada,0,2005-05-31
New Hampshire,0,2005-05-31
New Jersey,0,2005-05-31
New Mexico,0,2005-05-31
New York,0,2005-05-31
North Carolina,0,2005-05-31
North Dakota,0,2005-05-31
Ohio,0,2005-05-31
Oklahoma,0,2005-05-31
Oregon,0,2005-05-31
Pennsylvania,0,2005-05-31
Rhode Island,0,2005-05-31
South Carolina,0,2005-05-31
South Dakota,0,2005-05-31
Tennessee,0,2005-05-31
Texas,0,2005-05-31
Utah,0,2005-05-31
Vermont,0,2005-05-31
Virginia,0,2005-05-31
Washington,100,2005-05-31
West Virginia,0,2005-05-31
Wisconsin,0,2005-05-31
Wyoming,0,2005-05-31
Alabama,0,2005-06-30
Alaska,0,2005-06-30
Arizona,0,2005-06-30
Arkansas,0,2005-06-30
California,0,2005-06-30
Colorado,0,2005-06-30
Connecticut,0,2005-06-30
Delaware,0,2005-06-30
District of Columbia,0,2005-06-30
Florida,0,2005-06-30
Georgia,0,2005-06-30
Hawaii,0,2005-06-30
Idaho,0,2005-06-30
Illinois,0,2005-06-30
Indiana,0,2005-06-30
Iowa,0,2005-06-30
Kansas,0,2005-06-30
Kentucky,0,2005-06-30
Louisiana,0,2005-06-30
Maine,0,2005-06-30
Maryland,0,2005-06-30
Massachusetts,0,2005-06-30
Michigan,0,2005-06-30
Minnesota,0,2005-06-30
Mississippi,0,2005-06-30
Missouri,0,2005-06-30
Montana,0,2005-06-30
Nebraska,0,2005-06-30
Nevada,0,2005-06-30
New Hampshire,0,2005-06-30
New Jersey,0,2005-06-30
New Mexico,0,2005-06-30
New York,0,2005-06-30
North Carolina,0,2005-06-30
North Dakota,0,2005-06-30
Ohio,0,2005-06-30
Oklahoma,0,2005-06-30
Oregon,0,2005-06-30
Pennsylvania,0,2005-06-30
Rhode Island,0,2005-06-30
South Carolina,0,2005-06-30
South Dakota,0,2005-06-30
Tennessee,0,2005-06-30
Texas,0,2005-06-30
Utah,0,2005-06-30
Vermont,0,2005-06-30
Virginia,0,2005-06-30
Washington,0,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,0,2005-06-30
Wyoming,0,2005-06-30
Alabama,0,2005-07-31
Alaska,0,2005-07-31
Arizona,0,2005-07-31
Arkansas,0,2005-07-31
California,0,2005-07-31
Colorado,0,2005-07-31
Connecticut,0,2005-07-31
Delaware,0,2005-07-31
District of Columbia,0,2005-07-31
Florida,0,2005-07-31
Georgia,0,2005-07-31
Hawaii,0,2005-07-31
Idaho,0,2005-07-31
Illinois,0,2005-07-31
Indiana,0,2005-07-31
Iowa,0,2005-07-31
Kansas,0,2005-07-31
Kentucky,0,2005-07-31
Louisiana,0,2005-07-31
Maine,0,2005-07-31
Maryland,0,2005-07-31
Massachusetts,0,2005-07-31
Michigan,0,2005-07-31
Minnesota,0,2005-07-31
Mississippi,0,2005-07-31
Missouri,0,2005-07-31
Montana,0,2005-07-31
Nebraska,0,2005-07-31
Nevada,0,2005-07-31
New Hampshire,0,2005-07-31
New Jersey,0,2005-07-31
New Mexico,0,2005-07-31
New York,0,2005-07-31
North Carolina,0,2005-07-31
North Dakota,0,2005-07-31
Ohio,0,2005-07-31
Oklahoma,0,2005-07-31
Oregon,0,2005-07-31
Pennsylvania,0,2005-07-31
Rhode Island,0,2005-07-31
South Carolina,0,2005-07-31
South Dakota,0,2005-07-31
Tennessee,0,2005-07-31
Texas,0,2005-07-31
Utah,0,2005-07-31
Vermont,0,2005-07-31
Virginia,0,2005-07-31
Washington,0,2005-07-31
West Virginia,0,2005-07-31
Wisconsin,0,2005-07-31
Wyoming,0,2005-07-31
Alabama,0,2005-08-31
Alaska,0,2005-08-31
Arizona,0,2005-08-31
Arkansas,0,2005-08-31
California,0,2005-08-31
Colorado,0,2005-08-31
Connecticut,0,2005-08-31
Delaware,0,2005-08-31
District of Columbia,0,2005-08-31
Florida,0,2005-08-31
Georgia,0,2005-08-31
Hawaii,0,2005-08-31
Idaho,0,2005-08-31
Illinois,0,2005-08-31
Indiana,0,2005-08-31
Iowa,0,2005-08-31
Kansas,0,2005-08-31
Kentucky,0,2005-08-31
Louisiana,0,2005-08-31
Maine,0,2005-08-31
Maryland,0,2005-08-31
Massachusetts,0,2005-08-31
Michigan,0,2005-08-31
Minnesota,0,2005-08-31
Mississippi,0,2005-08-31
Missouri,0,2005-08-31
Montana,0,2005-08-31
Nebraska,0,2005-08-31
Nevada,0,2005-08-31
New Hampshire,0,2005-08-31
New Jersey,0,2005-08-31
New Mexico,0,2005-08-31
New York,0,2005-08-31
North Carolina,0,2005-08-31
North Dakota,0,2005-08-31
Ohio,0,2005-08-31
Oklahoma,0,2005-08-31
Oregon,0,2005-08-31
Pennsylvania,0,2005-08-31
Rhode Island,0,2005-08-31
South Carolina,0,2005-08-31
South Dakota,0,2005-08-31
Tennessee,0,2005-08-31
Texas,0,2005-08-31
Utah,0,2005-08-31
Vermont,0,2005-08-31
Virginia,0,2005-08-31
Washington,100,2005-08-31
West Virginia,0,2005-08-31
Wisconsin,0,2005-08-31
Wyoming,0,2005-08-31
Alabama,0,2005-09-30
Alaska,0,2005-09-30
Arizona,0,2005-09-30
Arkansas,0,2005-09-30
California,0,2005-09-30
Colorado,0,2005-09-30
Connecticut,0,2005-09-30
Delaware,0,2005-09-30
District of Columbia,0,2005-09-30
Florida,0,2005-09-30
Georgia,0,2005-09-30
Hawaii,0,2005-09-30
Idaho,0,2005-09-30
Illinois,0,2005-09-30
Indiana,0,2005-09-30
Iowa,0,2005-09-30
Kansas,0,2005-09-30
Kentucky,0,2005-09-30
Louisiana,0,2005-09-30
Maine,0,2005-09-30
Maryland,0,2005-09-30
Massachusetts,0,2005-09-30
Michigan,0,2005-09-30
Minnesota,0,2005-09-30
Mississippi,0,2005-09-30
Missouri,0,2005-09-30
Montana,0,2005-09-30
Nebraska,0,2005-09-30
Nevada,0,2005-09-30
New Hampshire,0,2005-09-30
New Jersey,0,2005-09-30
New Mexico,0,2005-09-30
New York,0,2005-09-30
North Carolina,0,2005-09-30
North Dakota,0,2005-09-30
Ohio,0,2005-09-30
Oklahoma,0,2005-09-30
Oregon,100,2005-09-30
Pennsylvania,0,2005-09-30
Rhode Island,0,2005-09-30
South Carolina,0,2005-09-30
South Dakota,0,2005-09-30
Tennessee,0,2005-09-30
Texas,0,2005-09-30
Utah,0,2005-09-30
Vermont,0,2005-09-30
Virginia,0,2005-09-30
Washington,49,2005-09-30
West Virginia,0,2005-09-30
Wisconsin,0,2005-09-30
Wyoming,0,2005-09-30
Alabama,0,2005-10-31
Alaska,0,2005-10-31
Arizona,0,2005-10-31
Arkansas,0,2005-10-31
California,100,2005-10-31
Colorado,0,2005-10-31
Connecticut,0,2005-10-31
Delaware,0,2005-10-31
District of Columbia,0,2005-10-31
Florida,0,2005-10-31
Georgia,0,2005-10-31
Hawaii,0,2005-10-31
Idaho,0,2005-10-31
Illinois,0,2005-10-31
Indiana,0,2005-10-31
Iowa,0,2005-10-31
Kansas,0,2005-10-31
Kentucky,0,2005-10-31
Louisiana,0,2005-10-31
Maine,0,2005-10-31
Maryland,0,2005-10-31
Massachusetts,0,2005-10-31
Michigan,0,2005-10-31
Minnesota,0,2005-10-31
Mississippi,0,2005-10-31
Missouri,0,2005-10-31
Montana,0,2005-10-31
Nebraska,0,2005-10-31
Nevada,0,2005-10-31
New Hampshire,0,2005-10-31
New Jersey,0,2005-10-31
New Mexico,0,2005-10-31
New York,0,2005-10-31
North Carolina,0,2005-10-31
North Dakota,0,2005-10-31
Ohio,0,2005-10-31
Oklahoma,0,2005-10-31
Oregon,0,2005-10-31
Pennsylvania,0,2005-10-31
Rhode Island,0,2005-10-31
South Carolina,0,2005-10-31
South Dakota,0,2005-10-31
Tennessee,0,2005-10-31
Texas,0,2005-10-31
Utah,0,2005-10-31
Vermont,0,2005-10-31
Virginia,0,2005-10-31
Washington,0,2005-10-31
West Virginia,0,2005-10-31
Wisconsin,0,2005-10-31
Wyoming,0,2005-10-31
Alabama,0,2005-11-30
Alaska,0,2005-11-30
Arizona,0,2005-11-30
Arkansas,0,2005-11-30
California,0,2005-11-30
Colorado,0,2005-11-30
Connecticut,0,2005-11-30
Delaware,0,2005-11-30
District of Columbia,0,2005-11-30
Florida,0,2005-11-30
Georgia,0,2005-11-30
Hawaii,0,2005-11-30
Idaho,0,2005-11-30
Illinois,0,2005-11-30
Indiana,0,2005-11-30
Iowa,0,2005-11-30
Kansas,0,2005-11-30
Kentucky,0,2005-11-30
Louisiana,0,2005-11-30
Maine,0,2005-11-30
Maryland,0,2005-11-30
Massachusetts,0,2005-11-30
Michigan,0,2005-11-30
Minnesota,0,2005-11-30
Mississippi,0,2005-11-30
Missouri,0,2005-11-30
Montana,0,2005-11-30
Nebraska,0,2005-11-30
Nevada,0,2005-11-30
New Hampshire,0,2005-11-30
New Jersey,0,2005-11-30
New Mexico,0,2005-11-30
New York,0,2005-11-30
North Carolina,0,2005-11-30
North Dakota,0,2005-11-30
Ohio,0,2005-11-30
Oklahoma,0,2005-11-30
Oregon,0,2005-11-30
Pennsylvania,0,2005-11-30
Rhode Island,0,2005-11-30
South Carolina,0,2005-11-30
South Dakota,0,2005-11-30
Tennessee,0,2005-11-30
Texas,0,2005-11-30
Utah,0,2005-11-30
Vermont,0,2005-11-30
Virginia,0,2005-11-30
Washington,0,2005-11-30
West Virginia,0,2005-11-30
Wisconsin,0,2005-11-30
Wyoming,0,2005-11-30
Alabama,0,2005-12-31
Alaska,0,2005-12-31
Arizona,0,2005-12-31
Arkansas,0,2005-12-31
California,60,2005-12-31
Colorado,0,2005-12-31
Connecticut,0,2005-12-31
Delaware,0,2005-12-31
District of Columbia,0,2005-12-31
Florida,0,2005-12-31
Georgia,0,2005-12-31
Hawaii,0,2005-12-31
Idaho,0,2005-12-31
Illinois,0,2005-12-31
Indiana,0,2005-12-31
Iowa,0,2005-12-31
Kansas,0,2005-12-31
Kentucky,0,2005-12-31
Louisiana,0,2005-12-31
Maine,0,2005-12-31
Maryland,0,2005-12-31
Massachusetts,0,2005-12-31
Michigan,0,2005-12-31
Minnesota,0,2005-12-31
Mississippi,0,2005-12-31
Missouri,0,2005-12-31
Montana,0,2005-12-31
Nebraska,0,2005-12-31
Nevada,0,2005-12-31
New Hampshire,0,2005-12-31
New Jersey,0,2005-12-31
New Mexico,0,2005-12-31
New York,100,2005-12-31
North Carolina,0,2005-12-31
North Dakota,0,2005-12-31
Ohio,0,2005-12-31
Oklahoma,0,2005-12-31
Oregon,0,2005-12-31
Pennsylvania,0,2005-12-31
Rhode Island,0,2005-12-31
South Carolina,0,2005-12-31
South Dakota,0,2005-12-31
Tennessee,0,2005-12-31
Texas,0,2005-12-31
Utah,0,2005-12-31
Vermont,0,2005-12-31
Virginia,0,2005-12-31
Washington,0,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,0,2005-12-31
Wyoming,0,2005-12-31
Alabama,26,2006-01-31
Alaska,0,2006-01-31
Arizona,62,2006-01-31
Arkansas,0,2006-01-31
California,80,2006-01-31
Colorado,18,2006-01-31
Connecticut,34,2006-01-31
Delaware,0,2006-01-31
District of Columbia,20,2006-01-31
Florida,45,2006-01-31
Georgia,13,2006-01-31
Hawaii,47,2006-01-31
Idaho,0,2006-01-31
Illinois,32,2006-01-31
Indiana,16,2006-01-31
Iowa,0,2006-01-31
Kansas,0,2006-01-31
Kentucky,0,2006-01-31
Louisiana,0,2006-01-31
Maine,0,2006-01-31
Maryland,33,2006-01-31
Massachusetts,47,2006-01-31
Michigan,20,2006-01-31
Minnesota,17,2006-01-31
Mississippi,0,2006-01-31
Missouri,22,2006-01-31
Montana,0,2006-01-31
Nebraska,19,2006-01-31
Nevada,37,2006-01-31
New Hampshire,0,2006-01-31
New Jersey,21,2006-01-31
New Mexico,26,2006-01-31
New York,32,2006-01-31
North Carolina,30,2006-01-31
North Dakota,0,2006-01-31
Ohio,40,2006-01-31
Oklahoma,29,2006-01-31
Oregon,59,2006-01-31
Pennsylvania,16,2006-01-31
Rhode Island,0,2006-01-31
South Carolina,26,2006-01-31
South Dakota,54,2006-01-31
Tennessee,8,2006-01-31
Texas,10,2006-01-31
Utah,13,2006-01-31
Vermont,37,2006-01-31
Virginia,40,2006-01-31
Washington,100,2006-01-31
West Virginia,0,2006-01-31
Wisconsin,24,2006-01-31
Wyoming,0,2006-01-31
Alabama,26,2006-02-28
Alaska,0,2006-02-28
Arizona,37,2006-02-28
Arkansas,24,2006-02-28
California,50,2006-02-28
Colorado,33,2006-02-28
Connecticut,32,2006-02-28
Delaware,48,2006-02-28
District of Columbia,56,2006-02-28
Florida,52,2006-02-28
Georgia,9,2006-02-28
Hawaii,0,2006-02-28
Idaho,0,2006-02-28
Illinois,27,2006-02-28
Indiana,8,2006-02-28
Iowa,0,2006-02-28
Kansas,0,2006-02-28
Kentucky,17,2006-02-28
Louisiana,0,2006-02-28
Maine,0,2006-02-28
Maryland,16,2006-02-28
Massachusetts,73,2006-02-28
Michigan,7,2006-02-28
Minnesota,5,2006-02-28
Mississippi,0,2006-02-28
Missouri,16,2006-02-28
Montana,0,2006-02-28
Nebraska,0,2006-02-28
Nevada,17,2006-02-28
New Hampshire,21,2006-02-28
New Jersey,30,2006-02-28
New Mexico,100,2006-02-28
New York,22,2006-02-28
North Carolina,13,2006-02-28
North Dakota,0,2006-02-28
Ohio,13,2006-02-28
Oklahoma,29,2006-02-28
Oregon,28,2006-02-28
Pennsylvania,3,2006-02-28
Rhode Island,0,2006-02-28
South Carolina,38,2006-02-28
South Dakota,0,2006-02-28
Tennessee,23,2006-02-28
Texas,10,2006-02-28
Utah,12,2006-02-28
Vermont,0,2006-02-28
Virginia,16,2006-02-28
Washington,60,2006-02-28
West Virginia,0,2006-02-28
Wisconsin,11,2006-02-28
Wyoming,0,2006-02-28
Alabama,0,2006-03-31
Alaska,0,2006-03-31
Arizona,83,2006-03-31
Arkansas,0,2006-03-31
California,79,2006-03-31
Colorado,32,2006-03-31
Connecticut,69,2006-03-31
Delaware,0,2006-03-31
District of Columbia,37,2006-03-31
Florida,43,2006-03-31
Georgia,9,2006-03-31
Hawaii,30,2006-03-31
Idaho,43,2006-03-31
Illinois,23,2006-03-31
Indiana,12,2006-03-31
Iowa,42,2006-03-31
Kansas,0,2006-03-31
Kentucky,27,2006-03-31
Louisiana,0,2006-03-31
Maine,0,2006-03-31
Maryland,24,2006-03-31
Massachusetts,62,2006-03-31
Michigan,28,2006-03-31
Minnesota,23,2006-03-31
Mississippi,0,2006-03-31
Missouri,23,2006-03-31
Montana,65,2006-03-31
Nebraska,0,2006-03-31
Nevada,24,2006-03-31
New Hampshire,0,2006-03-31
New Jersey,20,2006-03-31
New Mexico,0,2006-03-31
New York,30,2006-03-31
North Carolina,6,2006-03-31
North Dakota,89,2006-03-31
Ohio,24,2006-03-31
Oklahoma,60,2006-03-31
Oregon,41,2006-03-31
Pennsylvania,19,2006-03-31
Rhode Island,32,2006-03-31
South Carolina,19,2006-03-31
South Dakota,77,2006-03-31
Tennessee,22,2006-03-31
Texas,18,2006-03-31
Utah,0,2006-03-31
Vermont,0,2006-03-31
Virginia,24,2006-03-31
Washington,100,2006-03-31
West Virginia,0,2006-03-31
Wisconsin,0,2006-03-31
Wyoming,0,2006-03-31
Alabama,12,2006-04-30
Alaska,38,2006-04-30
Arizona,44,2006-04-30
Arkansas,0,2006-04-30
California,49,2006-04-30
Colorado,36,2006-04-30
Connecticut,22,2006-04-30
Delaware,0,2006-04-30
District of Columbia,18,2006-04-30
Florida,26,2006-04-30
Georgia,17,2006-04-30
Hawaii,0,2006-04-30
Idaho,0,2006-04-30
Illinois,50,2006-04-30
Indiana,31,2006-04-30
Iowa,14,2006-04-30
Kansas,12,2006-04-30
Kentucky,0,2006-04-30
Louisiana,0,2006-04-30
Maine,0,2006-04-30
Maryland,5,2006-04-30
Massachusetts,43,2006-04-30
Michigan,33,2006-04-30
Minnesota,15,2006-04-30
Mississippi,30,2006-04-30
Missouri,20,2006-04-30
Montana,45,2006-04-30
Nebraska,0,2006-04-30
Nevada,91,2006-04-30
New Hampshire,19,2006-04-30
New Jersey,21,2006-04-30
New Mexico,72,2006-04-30
New York,15,2006-04-30
North Carolina,4,2006-04-30
North Dakota,0,2006-04-30
Ohio,12,2006-04-30
Oklahoma,0,2006-04-30
Oregon,38,2006-04-30
Pennsylvania,20,2006-04-30
Rhode Island,20,2006-04-30
South Carolina,25,2006-04-30
South Dakota,0,2006-04-30
Tennessee,37,2006-04-30
Texas,16,2006-04-30
Utah,37,2006-04-30
Vermont,100,2006-04-30
Virginia,28,2006-04-30
Washington,55,2006-04-30
West Virginia,0,2006-04-30
Wisconsin,16,2006-04-30
Wyoming,0,2006-04-30
Alabama,0,2006-05-31
Alaska,0,2006-05-31
Arizona,68,2006-05-31
Arkansas,0,2006-05-31
California,79,2006-05-31
Colorado,43,2006-05-31
Connecticut,10,2006-05-31
Delaware,0,2006-05-31
District of Columbia,23,2006-05-31
Florida,48,2006-05-31
Georgia,19,2006-05-31
Hawaii,27,2006-05-31
Idaho,0,2006-05-31
Illinois,36,2006-05-31
Indiana,24,2006-05-31
Iowa,21,2006-05-31
Kansas,0,2006-05-31
Kentucky,0,2006-05-31
Louisiana,0,2006-05-31
Maine,0,2006-05-31
Maryland,28,2006-05-31
Massachusetts,70,2006-05-31
Michigan,10,2006-05-31
Minnesota,29,2006-05-31
Mississippi,0,2006-05-31
Missouri,14,2006-05-31
Montana,0,2006-05-31
Nebraska,0,2006-05-31
Nevada,82,2006-05-31
New Hampshire,0,2006-05-31
New Jersey,45,2006-05-31
New Mexico,100,2006-05-31
New York,16,2006-05-31
North Carolina,11,2006-05-31
North Dakota,0,2006-05-31
Ohio,17,2006-05-31
Oklahoma,0,2006-05-31
Oregon,79,2006-05-31
Pennsylvania,24,2006-05-31
Rhode Island,29,2006-05-31
South Carolina,35,2006-05-31
South Dakota,0,2006-05-31
Tennessee,0,2006-05-31
Texas,16,2006-05-31
Utah,17,2006-05-31
Vermont,95,2006-05-31
Virginia,22,2006-05-31
Washington,59,2006-05-31
West Virginia,0,2006-05-31
Wisconsin,0,2006-05-31
Wyoming,0,2006-05-31
Alabama,0,2006-06-30
Alaska,0,2006-06-30
Arizona,61,2006-06-30
Arkansas,0,2006-06-30
California,53,2006-06-30
Colorado,78,2006-06-30
Connecticut,29,2006-06-30
Delaware,0,2006-06-30
District of Columbia,36,2006-06-30
Florida,40,2006-06-30
Georgia,14,2006-06-30
Hawaii,0,2006-06-30
Idaho,0,2006-06-30
Illinois,22,2006-06-30
Indiana,0,2006-06-30
Iowa,20,2006-06-30
Kansas,0,2006-06-30
Kentucky,13,2006-06-30
Louisiana,0,2006-06-30
Maine,0,2006-06-30
Maryland,19,2006-06-30
Massachusetts,71,2006-06-30
Michigan,29,2006-06-30
Minnesota,20,2006-06-30
Mississippi,0,2006-06-30
Missouri,13,2006-06-30
Montana,0,2006-06-30
Nebraska,23,2006-06-30
Nevada,55,2006-06-30
New Hampshire,26,2006-06-30
New Jersey,4,2006-06-30
New Mexico,30,2006-06-30
New York,27,2006-06-30
North Carolina,25,2006-06-30
North Dakota,0,2006-06-30
Ohio,20,2006-06-30
Oklahoma,0,2006-06-30
Oregon,59,2006-06-30
Pennsylvania,16,2006-06-30
Rhode Island,0,2006-06-30
South Carolina,16,2006-06-30
South Dakota,0,2006-06-30
Tennessee,18,2006-06-30
Texas,15,2006-06-30
Utah,16,2006-06-30
Vermont,45,2006-06-30
Virginia,16,2006-06-30
Washington,100,2006-06-30
West Virginia,0,2006-06-30
Wisconsin,14,2006-06-30
Wyoming,0,2006-06-30
Alabama,0,2006-07-31
Alaska,56,2006-07-31
Arizona,66,2006-07-31
Arkansas,17,2006-07-31
California,50,2006-07-31
Colorado,11,2006-07-31
Connecticut,45,2006-07-31
Delaware,0,2006-07-31
District of Columbia,8,2006-07-31
Florida,28,2006-07-31
Georgia,10,2006-07-31
Hawaii,14,2006-07-31
Idaho,0,2006-07-31
Illinois,37,2006-07-31
Indiana,12,2006-07-31
Iowa,11,2006-07-31
Kansas,0,2006-07-31
Kentucky,0,2006-07-31
Louisiana,9,2006-07-31
Maine,0,2006-07-31
Maryland,23,2006-07-31
Massachusetts,40,2006-07-31
Michigan,14,2006-07-31
Minnesota,8,2006-07-31
Mississippi,0,2006-07-31
Missouri,11,2006-07-31
Montana,100,2006-07-31
Nebraska,13,2006-07-31
Nevada,77,2006-07-31
New Hampshire,0,2006-07-31
New Jersey,16,2006-07-31
New Mexico,35,2006-07-31
New York,10,2006-07-31
North Carolina,14,2006-07-31
North Dakota,0,2006-07-31
Ohio,16,2006-07-31
Oklahoma,10,2006-07-31
Oregon,30,2006-07-31
Pennsylvania,23,2006-07-31
Rhode Island,17,2006-07-31
South Carolina,9,2006-07-31
South Dakota,0,2006-07-31
Tennessee,11,2006-07-31
Texas,9,2006-07-31
Utah,37,2006-07-31
Vermont,26,2006-07-31
Virginia,28,2006-07-31
Washington,70,2006-07-31
West Virginia,39,2006-07-31
Wisconsin,8,2006-07-31
Wyoming,0,2006-07-31
Alabama,17,2006-08-31
