geoName,Flat,year
North Dakota,0,2005-03-31
Ohio,5,2005-03-31
Oklahoma,22,2005-03-31
Oregon,11,2005-03-31
Pennsylvania,4,2005-03-31
Rhode Island,0,2005-03-31
South Carolina,0,2005-03-31
South Dakota,0,2005-03-31
Tennessee,0,2005-03-31
Texas,5,2005-03-31
Utah,0,2005-03-31
Vermont,0,2005-03-31
Virginia,5,2005-03-31
Washington,0,2005-03-31
West Virginia,0,2005-03-31
Wisconsin,9,2005-03-31
Wyoming,100,2005-03-31
Alabama,21,2005-04-30
Alaska,0,2005-04-30
Arizona,0,2005-04-30
Arkansas,0,2005-04-30
California,3,2005-04-30
Colorado,0,2005-04-30
Connecticut,0,2005-04-30
Delaware,0,2005-04-30
District of Columbia,0,2005-04-30
Florida,3,2005-04-30
Georgia,0,2005-04-30
Hawaii,0,2005-04-30
Idaho,0,2005-04-30
Illinois,7,2005-04-30
Indiana,0,2005-04-30
Iowa,0,2005-04-30
Kansas,0,2005-04-30
Kentucky,0,2005-04-30
Louisiana,39,2005-04-30
Maine,0,2005-04-30
Maryland,0,2005-04-30
Massachusetts,4,2005-04-30
Michigan,0,2005-04-30
Minnesota,16,2005-04-30
Mississippi,0,2005-04-30
Missouri,16,2005-04-30
Montana,0,2005-04-30
Nebraska,0,2005-04-30
Nevada,28,2005-04-30
New Hampshire,0,2005-04-30
New Jersey,10,2005-04-30
New Mexico,0,2005-04-30
New York,4,2005-04-30
North Carolina,7,2005-04-30
North Dakota,100,2005-04-30
Ohio,0,2005-04-30
Oklahoma,0,2005-04-30
Oregon,21,2005-04-30
Pennsylvania,4,2005-04-30
Rhode Island,0,2005-04-30
South Carolina,0,2005-04-30
South Dakota,0,2005-04-30
Tennessee,0,2005-04-30
Texas,2,2005-04-30
Utah,0,2005-04-30
Vermont,0,2005-04-30
Virginia,0,2005-04-30
Washington,0,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,0,2005-04-30
Wyoming,0,2005-04-30
Alabama,0,2005-05-31
Alaska,86,2005-05-31
Arizona,0,2005-05-31
Arkansas,0,2005-05-31
California,6,2005-05-31
Colorado,12,2005-05-31
Connecticut,0,2005-05-31
Delaware,0,2005-05-31
District of Columbia,13,2005-05-31
Florida,4,2005-05-31
Georgia,0,2005-05-31
Hawaii,0,2005-05-31
Idaho,0,2005-05-31
Illinois,14,2005-05-31
Indiana,0,2005-05-31
Iowa,0,2005-05-31
Kansas,0,2005-05-31
Kentucky,0,2005-05-31
Louisiana,0,2005-05-31
Maine,0,2005-05-31
Maryland,22,2005-05-31
Massachusetts,6,2005-05-31
Michigan,0,2005-05-31
Minnesota,0,2005-05-31
Mississippi,0,2005-05-31
Missouri,0,2005-05-31
Montana,0,2005-05-31
Nebraska,0,2005-05-31
Nevada,0,2005-05-31
New Hampshire,0,2005-05-31
New Jersey,0,2005-05-31
New Mexico,0,2005-05-31
New York,5,2005-05-31
North Carolina,10,2005-05-31
North Dakota,0,2005-05-31
Ohio,7,2005-05-31
Oklahoma,0,2005-05-31
Oregon,15,2005-05-31
Pennsylvania,0,2005-05-31
Rhode Island,0,2005-05-31
South Carolina,0,2005-05-31
South Dakota,0,2005-05-31
Tennessee,0,2005-05-31
Texas,3,2005-05-31
Utah,0,2005-05-31
Vermont,0,2005-05-31
Virginia,6,2005-05-31
Washington,7,2005-05-31
West Virginia,100,2005-05-31
Wisconsin,13,2005-05-31
Wyoming,0,2005-05-31
Alabama,80,2005-06-30
Alaska,0,2005-06-30
Arizona,100,2005-06-30
Arkansas,0,2005-06-30
California,13,2005-06-30
Colorado,71,2005-06-30
Connecticut,53,2005-06-30
Delaware,0,2005-06-30
District of Columbia,0,2005-06-30
Florida,0,2005-06-30
Georgia,19,2005-06-30
Hawaii,0,2005-06-30
Idaho,0,2005-06-30
Illinois,14,2005-06-30
Indiana,0,2005-06-30
Iowa,0,2005-06-30
Kansas,0,2005-06-30
Kentucky,0,2005-06-30
Louisiana,79,2005-06-30
Maine,0,2005-06-30
Maryland,0,2005-06-30
Massachusetts,19,2005-06-30
Michigan,0,2005-06-30
Minnesota,0,2005-06-30
Mississippi,0,2005-06-30
Missouri,32,2005-06-30
Montana,0,2005-06-30
Nebraska,0,2005-06-30
Nevada,0,2005-06-30
New Hampshire,0,2005-06-30
New Jersey,61,2005-06-30
New Mexico,0,2005-06-30
New York,0,2005-06-30
North Carolina,27,2005-06-30
North Dakota,0,2005-06-30
Ohio,0,2005-06-30
Oklahoma,89,2005-06-30
Oregon,44,2005-06-30
Pennsylvania,17,2005-06-30
Rhode Island,0,2005-06-30
South Carolina,84,2005-06-30
South Dakota,0,2005-06-30
Tennessee,0,2005-06-30
Texas,10,2005-06-30
Utah,0,2005-06-30
Vermont,0,2005-06-30
Virginia,19,2005-06-30
Washington,22,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,0,2005-06-30
Wyoming,0,2005-06-30
Alabama,0,2005-07-31
Alaska,0,2005-07-31
Arizona,0,2005-07-31
Arkansas,0,2005-07-31
California,14,2005-07-31
Colorado,0,2005-07-31
Connecticut,0,2005-07-31
Delaware,0,2005-07-31
District of Columbia,29,2005-07-31
Florida,29,2005-07-31
Georgia,14,2005-07-31
Hawaii,0,2005-07-31
Idaho,0,2005-07-31
Illinois,0,2005-07-31
Indiana,0,2005-07-31
Iowa,0,2005-07-31
Kansas,0,2005-07-31
Kentucky,86,2005-07-31
Louisiana,0,2005-07-31
Maine,0,2005-07-31
Maryland,0,2005-07-31
Massachusetts,0,2005-07-31
Michigan,0,2005-07-31
Minnesota,0,2005-07-31
Mississippi,0,2005-07-31
Missouri,0,2005-07-31
Montana,0,2005-07-31
Nebraska,0,2005-07-31
Nevada,0,2005-07-31
New Hampshire,100,2005-07-31
New Jersey,0,2005-07-31
New Mexico,0,2005-07-31
New York,18,2005-07-31
North Carolina,0,2005-07-31
North Dakota,0,2005-07-31
Ohio,0,2005-07-31
Oklahoma,0,2005-07-31
Oregon,0,2005-07-31
Pennsylvania,0,2005-07-31
Rhode Island,0,2005-07-31
South Carolina,0,2005-07-31
South Dakota,0,2005-07-31
Tennessee,36,2005-07-31
Texas,7,2005-07-31
Utah,0,2005-07-31
Vermont,0,2005-07-31
Virginia,0,2005-07-31
Washington,0,2005-07-31
West Virginia,0,2005-07-31
Wisconsin,29,2005-07-31
Wyoming,0,2005-07-31
Alabama,0,2005-08-31
Alaska,0,2005-08-31
Arizona,15,2005-08-31
Arkansas,0,2005-08-31
California,6,2005-08-31
Colorado,0,2005-08-31
Connecticut,0,2005-08-31
Delaware,0,2005-08-31
District of Columbia,0,2005-08-31
Florida,11,2005-08-31
Georgia,0,2005-08-31
Hawaii,0,2005-08-31
Idaho,0,2005-08-31
Illinois,0,2005-08-31
Indiana,22,2005-08-31
Iowa,0,2005-08-31
Kansas,35,2005-08-31
Kentucky,0,2005-08-31
Louisiana,0,2005-08-31
Maine,0,2005-08-31
Maryland,0,2005-08-31
Massachusetts,0,2005-08-31
Michigan,0,2005-08-31
Minnesota,0,2005-08-31
Mississippi,100,2005-08-31
Missouri,0,2005-08-31
Montana,0,2005-08-31
Nebraska,0,2005-08-31
Nevada,0,2005-08-31
New Hampshire,0,2005-08-31
New Jersey,0,2005-08-31
New Mexico,68,2005-08-31
New York,17,2005-08-31
North Carolina,0,2005-08-31
North Dakota,0,2005-08-31
Ohio,0,2005-08-31
Oklahoma,0,2005-08-31
Oregon,0,2005-08-31
Pennsylvania,0,2005-08-31
Rhode Island,0,2005-08-31
South Carolina,0,2005-08-31
South Dakota,0,2005-08-31
Tennessee,0,2005-08-31
Texas,4,2005-08-31
Utah,0,2005-08-31
Vermont,0,2005-08-31
Virginia,8,2005-08-31
Washington,0,2005-08-31
West Virginia,0,2005-08-31
Wisconsin,16,2005-08-31
Wyoming,0,2005-08-31
Alabama,0,2005-09-30
Alaska,0,2005-09-30
Arizona,0,2005-09-30
Arkansas,0,2005-09-30
California,16,2005-09-30
Colorado,0,2005-09-30
Connecticut,0,2005-09-30
Delaware,0,2005-09-30
District of Columbia,0,2005-09-30
Florida,12,2005-09-30
Georgia,0,2005-09-30
Hawaii,0,2005-09-30
Idaho,0,2005-09-30
Illinois,13,2005-09-30
Indiana,0,2005-09-30
Iowa,0,2005-09-30
Kansas,0,2005-09-30
Kentucky,0,2005-09-30
Louisiana,0,2005-09-30
Maine,0,2005-09-30
Maryland,58,2005-09-30
Massachusetts,0,2005-09-30
Michigan,22,2005-09-30
Minnesota,0,2005-09-30
Mississippi,0,2005-09-30
Missouri,0,2005-09-30
Montana,0,2005-09-30
Nebraska,0,2005-09-30
Nevada,100,2005-09-30
New Hampshire,0,2005-09-30
New Jersey,0,2005-09-30
New Mexico,0,2005-09-30
New York,0,2005-09-30
North Carolina,0,2005-09-30
North Dakota,0,2005-09-30
Ohio,0,2005-09-30
Oklahoma,0,2005-09-30
Oregon,40,2005-09-30
Pennsylvania,0,2005-09-30
Rhode Island,0,2005-09-30
South Carolina,72,2005-09-30
South Dakota,0,2005-09-30
Tennessee,0,2005-09-30
Texas,27,2005-09-30
Utah,0,2005-09-30
Vermont,0,2005-09-30
Virginia,34,2005-09-30
Washington,0,2005-09-30
West Virginia,0,2005-09-30
Wisconsin,33,2005-09-30
Wyoming,0,2005-09-30
Alabama,0,2005-10-31
Alaska,85,2005-10-31
Arizona,0,2005-10-31
Arkansas,0,2005-10-31
California,8,2005-10-31
Colorado,12,2005-10-31
Connecticut,0,2005-10-31
Delaware,100,2005-10-31
District of Columbia,0,2005-10-31
Florida,0,2005-10-31
Georgia,6,2005-10-31
Hawaii,0,2005-10-31
Idaho,0,2005-10-31
Illinois,5,2005-10-31
Indiana,17,2005-10-31
Iowa,32,2005-10-31
Kansas,0,2005-10-31
Kentucky,0,2005-10-31
Louisiana,0,2005-10-31
Maine,0,2005-10-31
Maryland,0,2005-10-31
Massachusetts,6,2005-10-31
Michigan,8,2005-10-31
Minnesota,12,2005-10-31
Mississippi,0,2005-10-31
Missouri,11,2005-10-31
Montana,0,2005-10-31
Nebraska,0,2005-10-31
Nevada,0,2005-10-31
New Hampshire,0,2005-10-31
New Jersey,0,2005-10-31
New Mexico,0,2005-10-31
New York,5,2005-10-31
North Carolina,0,2005-10-31
North Dakota,0,2005-10-31
Ohio,0,2005-10-31
Oklahoma,0,2005-10-31
Oregon,15,2005-10-31
Pennsylvania,0,2005-10-31
Rhode Island,0,2005-10-31
South Carolina,28,2005-10-31
South Dakota,0,2005-10-31
Tennessee,0,2005-10-31
Texas,7,2005-10-31
Utah,0,2005-10-31
Vermont,0,2005-10-31
Virginia,0,2005-10-31
Washington,7,2005-10-31
West Virginia,0,2005-10-31
Wisconsin,12,2005-10-31
Wyoming,0,2005-10-31
Alabama,0,2005-11-30
Alaska,0,2005-11-30
Arizona,0,2005-11-30
Arkansas,0,2005-11-30
California,10,2005-11-30
Colorado,0,2005-11-30
Connecticut,0,2005-11-30
Delaware,0,2005-11-30
District of Columbia,0,2005-11-30
Florida,14,2005-11-30
Georgia,20,2005-11-30
Hawaii,0,2005-11-30
Idaho,0,2005-11-30
Illinois,0,2005-11-30
Indiana,0,2005-11-30
Iowa,100,2005-11-30
Kansas,0,2005-11-30
Kentucky,0,2005-11-30
Louisiana,0,2005-11-30
Maine,0,2005-11-30
Maryland,0,2005-11-30
Massachusetts,20,2005-11-30
Michigan,0,2005-11-30
Minnesota,0,2005-11-30
Mississippi,0,2005-11-30
Missouri,0,2005-11-30
Montana,0,2005-11-30
Nebraska,0,2005-11-30
Nevada,0,2005-11-30
New Hampshire,0,2005-11-30
New Jersey,65,2005-11-30
New Mexico,0,2005-11-30
New York,17,2005-11-30
North Carolina,58,2005-11-30
North Dakota,0,2005-11-30
Ohio,22,2005-11-30
Oklahoma,0,2005-11-30
Oregon,0,2005-11-30
Pennsylvania,0,2005-11-30
Rhode Island,0,2005-11-30
South Carolina,0,2005-11-30
South Dakota,0,2005-11-30
Tennessee,52,2005-11-30
Texas,33,2005-11-30
Utah,87,2005-11-30
Vermont,0,2005-11-30
Virginia,21,2005-11-30
Washington,0,2005-11-30
West Virginia,0,2005-11-30
Wisconsin,0,2005-11-30
Wyoming,0,2005-11-30
Alabama,0,2005-12-31
Alaska,0,2005-12-31
Arizona,33,2005-12-31
Arkansas,0,2005-12-31
California,23,2005-12-31
Colorado,0,2005-12-31
Connecticut,0,2005-12-31
Delaware,0,2005-12-31
District of Columbia,0,2005-12-31
Florida,50,2005-12-31
Georgia,0,2005-12-31
Hawaii,0,2005-12-31
Idaho,0,2005-12-31
Illinois,27,2005-12-31
Indiana,0,2005-12-31
Iowa,91,2005-12-31
Kansas,79,2005-12-31
Kentucky,0,2005-12-31
Louisiana,84,2005-12-31
Maine,0,2005-12-31
Maryland,100,2005-12-31
Massachusetts,19,2005-12-31
Michigan,23,2005-12-31
Minnesota,0,2005-12-31
Mississippi,0,2005-12-31
Missouri,0,2005-12-31
Montana,0,2005-12-31
Nebraska,0,2005-12-31
Nevada,0,2005-12-31
New Hampshire,0,2005-12-31
New Jersey,0,2005-12-31
New Mexico,0,2005-12-31
New York,8,2005-12-31
North Carolina,26,2005-12-31
North Dakota,0,2005-12-31
Ohio,0,2005-12-31
Oklahoma,0,2005-12-31
Oregon,82,2005-12-31
Pennsylvania,32,2005-12-31
Rhode Island,0,2005-12-31
South Carolina,0,2005-12-31
South Dakota,0,2005-12-31
Tennessee,0,2005-12-31
Texas,20,2005-12-31
Utah,0,2005-12-31
Vermont,0,2005-12-31
Virginia,0,2005-12-31
Washington,0,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,35,2005-12-31
Wyoming,0,2005-12-31
Alabama,0,2006-01-31
Alaska,0,2006-01-31
Arizona,0,2006-01-31
Arkansas,0,2006-01-31
California,1,2006-01-31
Colorado,0,2006-01-31
Connecticut,12,2006-01-31
Delaware,72,2006-01-31
District of Columbia,0,2006-01-31
Florida,9,2006-01-31
Georgia,0,2006-01-31
Hawaii,0,2006-01-31
Idaho,0,2006-01-31
Illinois,10,2006-01-31
Indiana,11,2006-01-31
Iowa,0,2006-01-31
Kansas,19,2006-01-31
Kentucky,0,2006-01-31
Louisiana,0,2006-01-31
Maine,0,2006-01-31
Maryland,0,2006-01-31
Massachusetts,0,2006-01-31
Michigan,6,2006-01-31
Minnesota,0,2006-01-31
Mississippi,0,2006-01-31
Missouri,8,2006-01-31
Montana,0,2006-01-31
Nebraska,0,2006-01-31
Nevada,26,2006-01-31
New Hampshire,30,2006-01-31
New Jersey,15,2006-01-31
New Mexico,0,2006-01-31
New York,0,2006-01-31
North Carolina,6,2006-01-31
North Dakota,0,2006-01-31
Ohio,5,2006-01-31
Oklahoma,0,2006-01-31
Oregon,0,2006-01-31
Pennsylvania,4,2006-01-31
Rhode Island,0,2006-01-31
South Carolina,19,2006-01-31
South Dakota,0,2006-01-31
Tennessee,0,2006-01-31
Texas,2,2006-01-31
Utah,0,2006-01-31
Vermont,0,2006-01-31
Virginia,5,2006-01-31
Washington,11,2006-01-31
West Virginia,0,2006-01-31
Wisconsin,0,2006-01-31
Wyoming,100,2006-01-31
Alabama,0,2006-02-28
Alaska,0,2006-02-28
Arizona,0,2006-02-28
Arkansas,0,2006-02-28
California,19,2006-02-28
Colorado,47,2006-02-28
Connecticut,0,2006-02-28
Delaware,0,2006-02-28
District of Columbia,53,2006-02-28
Florida,35,2006-02-28
Georgia,13,2006-02-28
Hawaii,0,2006-02-28
Idaho,0,2006-02-28
Illinois,28,2006-02-28
Indiana,0,2006-02-28
Iowa,0,2006-02-28
Kansas,0,2006-02-28
Kentucky,74,2006-02-28
Louisiana,0,2006-02-28
Maine,100,2006-02-28
Maryland,68,2006-02-28
Massachusetts,65,2006-02-28
Michigan,16,2006-02-28
Minnesota,0,2006-02-28
Mississippi,0,2006-02-28
Missouri,0,2006-02-28
Montana,0,2006-02-28
Nebraska,77,2006-02-28
Nevada,0,2006-02-28
New Hampshire,0,2006-02-28
New Jersey,42,2006-02-28
New Mexico,0,2006-02-28
New York,11,2006-02-28
North Carolina,18,2006-02-28
North Dakota,0,2006-02-28
Ohio,0,2006-02-28
Oklahoma,0,2006-02-28
Oregon,0,2006-02-28
Pennsylvania,0,2006-02-28
Rhode Island,0,2006-02-28
South Carolina,0,2006-02-28
South Dakota,0,2006-02-28
Tennessee,0,2006-02-28
Texas,0,2006-02-28
Utah,52,2006-02-28
Vermont,0,2006-02-28
Virginia,0,2006-02-28
Washington,15,2006-02-28
West Virginia,0,2006-02-28
Wisconsin,0,2006-02-28
Wyoming,0,2006-02-28
Alabama,0,2006-03-31
Alaska,0,2006-03-31
Arizona,0,2006-03-31
Arkansas,0,2006-03-31
California,14,2006-03-31
Colorado,26,2006-03-31
Connecticut,0,2006-03-31
Delaware,0,2006-03-31
District of Columbia,62,2006-03-31
Florida,0,2006-03-31
Georgia,30,2006-03-31
Hawaii,100,2006-03-31
Idaho,0,2006-03-31
Illinois,0,2006-03-31
Indiana,0,2006-03-31
Iowa,0,2006-03-31
Kansas,0,2006-03-31
Kentucky,0,2006-03-31
Louisiana,0,2006-03-31
Maine,0,2006-03-31
Maryland,0,2006-03-31
Massachusetts,29,2006-03-31
Michigan,19,2006-03-31
Minnesota,0,2006-03-31
Mississippi,0,2006-03-31
Missouri,25,2006-03-31
Montana,0,2006-03-31
Nebraska,89,2006-03-31
Nevada,0,2006-03-31
New Hampshire,0,2006-03-31
New Jersey,33,2006-03-31
New Mexico,0,2006-03-31
New York,6,2006-03-31
North Carolina,41,2006-03-31
North Dakota,0,2006-03-31
Ohio,16,2006-03-31
Oklahoma,0,2006-03-31
Oregon,0,2006-03-31
Pennsylvania,0,2006-03-31
Rhode Island,0,2006-03-31
South Carolina,63,2006-03-31
South Dakota,0,2006-03-31
Tennessee,0,2006-03-31
Texas,23,2006-03-31
Utah,0,2006-03-31
Vermont,0,2006-03-31
Virginia,32,2006-03-31
Washington,17,2006-03-31
West Virginia,0,2006-03-31
Wisconsin,28,2006-03-31
Wyoming,0,2006-03-31
Alabama,32,2006-04-30
Alaska,0,2006-04-30
Arizona,0,2006-04-30
Arkansas,0,2006-04-30
California,5,2006-04-30
Colorado,13,2006-04-30
Connecticut,0,2006-04-30
Delaware,0,2006-04-30
District of Columbia,15,2006-04-30
Florida,10,2006-04-30
Georgia,22,2006-04-30
Hawaii,0,2006-04-30
Idaho,0,2006-04-30
Illinois,16,2006-04-30
Indiana,0,2006-04-30
Iowa,0,2006-04-30
Kansas,31,2006-04-30
Kentucky,0,2006-04-30
Louisiana,0,2006-04-30
Maine,0,2006-04-30
Maryland,0,2006-04-30
Massachusetts,15,2006-04-30
Michigan,0,2006-04-30
Minnesota,13,2006-04-30
Mississippi,0,2006-04-30
Missouri,13,2006-04-30
Montana,0,2006-04-30
Nebraska,47,2006-04-30
Nevada,0,2006-04-30
New Hampshire,0,2006-04-30
New Jersey,16,2006-04-30
New Mexico,0,2006-04-30
New York,6,2006-04-30
North Carolina,10,2006-04-30
North Dakota,0,2006-04-30
Ohio,0,2006-04-30
Oklahoma,35,2006-04-30
Oregon,16,2006-04-30
Pennsylvania,6,2006-04-30
Rhode Island,0,2006-04-30
South Carolina,0,2006-04-30
South Dakota,0,2006-04-30
Tennessee,19,2006-04-30
Texas,4,2006-04-30
Utah,0,2006-04-30
Vermont,0,2006-04-30
Virginia,0,2006-04-30
Washington,8,2006-04-30
West Virginia,100,2006-04-30
Wisconsin,0,2006-04-30
Wyoming,0,2006-04-30
Alabama,0,2006-05-31
Alaska,0,2006-05-31
Arizona,17,2006-05-31
Arkansas,81,2006-05-31
California,7,2006-05-31
Colorado,0,2006-05-31
Connecticut,0,2006-05-31
Delaware,0,2006-05-31
District of Columbia,19,2006-05-31
Florida,6,2006-05-31
Georgia,0,2006-05-31
Hawaii,0,2006-05-31
Idaho,100,2006-05-31
Illinois,29,2006-05-31
Indiana,0,2006-05-31
Iowa,0,2006-05-31
Kansas,42,2006-05-31
Kentucky,0,2006-05-31
Louisiana,42,2006-05-31
Maine,0,2006-05-31
Maryland,0,2006-05-31
Massachusetts,0,2006-05-31
Michigan,13,2006-05-31
Minnesota,18,2006-05-31
Mississippi,0,2006-05-31
Missouri,0,2006-05-31
Montana,0,2006-05-31
Nebraska,63,2006-05-31
Nevada,0,2006-05-31
New Hampshire,66,2006-05-31
New Jersey,20,2006-05-31
New Mexico,0,2006-05-31
New York,20,2006-05-31
North Carolina,27,2006-05-31
North Dakota,0,2006-05-31
Ohio,11,2006-05-31
Oklahoma,0,2006-05-31
Oregon,0,2006-05-31
Pennsylvania,0,2006-05-31
Rhode Island,0,2006-05-31
South Carolina,0,2006-05-31
South Dakota,0,2006-05-31
Tennessee,25,2006-05-31
Texas,10,2006-05-31
Utah,42,2006-05-31
Vermont,0,2006-05-31
Virginia,21,2006-05-31
Washington,0,2006-05-31
West Virginia,0,2006-05-31
Wisconsin,19,2006-05-31
Wyoming,0,2006-05-31
Alabama,0,2006-06-30
Alaska,0,2006-06-30
Arizona,16,2006-06-30
Arkansas,0,2006-06-30
California,7,2006-06-30
Colorado,0,2006-06-30
Connecticut,25,2006-06-30
Delaware,0,2006-06-30
District of Columbia,0,2006-06-30
Florida,30,2006-06-30
Georgia,0,2006-06-30
Hawaii,0,2006-06-30
Idaho,0,2006-06-30
Illinois,7,2006-06-30
Indiana,0,2006-06-30
Iowa,0,2006-06-30
Kansas,0,2006-06-30
Kentucky,0,2006-06-30
Louisiana,0,2006-06-30
Maine,0,2006-06-30
Maryland,0,2006-06-30
Massachusetts,0,2006-06-30
Michigan,0,2006-06-30
Minnesota,0,2006-06-30
Mississippi,100,2006-06-30
Missouri,33,2006-06-30
Montana,0,2006-06-30
Nebraska,0,2006-06-30
Nevada,0,2006-06-30
New Hampshire,0,2006-06-30
New Jersey,0,2006-06-30
New Mexico,0,2006-06-30
New York,4,2006-06-30
North Carolina,13,2006-06-30
North Dakota,0,2006-06-30
Ohio,0,2006-06-30
Oklahoma,0,2006-06-30
Oregon,0,2006-06-30
Pennsylvania,8,2006-06-30
Rhode Island,0,2006-06-30
South Carolina,0,2006-06-30
South Dakota,0,2006-06-30
Tennessee,0,2006-06-30
Texas,28,2006-06-30
Utah,41,2006-06-30
Vermont,0,2006-06-30
Virginia,11,2006-06-30
Washington,0,2006-06-30
West Virginia,0,2006-06-30
Wisconsin,0,2006-06-30
Wyoming,0,2006-06-30
Alabama,22,2006-07-31
Alaska,0,2006-07-31
Arizona,0,2006-07-31
Arkansas,0,2006-07-31
California,7,2006-07-31
Colorado,0,2006-07-31
Connecticut,0,2006-07-31
Delaware,0,2006-07-31
District of Columbia,0,2006-07-31
Florida,7,2006-07-31
Georgia,5,2006-07-31
Hawaii,37,2006-07-31
Idaho,0,2006-07-31
Illinois,12,2006-07-31
Indiana,0,2006-07-31
Iowa,28,2006-07-31
Kansas,0,2006-07-31
Kentucky,0,2006-07-31
Louisiana,0,2006-07-31
Maine,0,2006-07-31
Maryland,10,2006-07-31
Massachusetts,6,2006-07-31
Michigan,0,2006-07-31
Minnesota,0,2006-07-31
Mississippi,0,2006-07-31
Missouri,28,2006-07-31
Montana,0,2006-07-31
Nebraska,0,2006-07-31
Nevada,0,2006-07-31
New Hampshire,0,2006-07-31
New Jersey,0,2006-07-31
New Mexico,0,2006-07-31
New York,5,2006-07-31
North Carolina,7,2006-07-31
North Dakota,0,2006-07-31
Ohio,6,2006-07-31
Oklahoma,0,2006-07-31
Oregon,25,2006-07-31
Pennsylvania,5,2006-07-31
Rhode Island,0,2006-07-31
South Carolina,0,2006-07-31
South Dakota,0,2006-07-31
Tennessee,0,2006-07-31
Texas,3,2006-07-31
Utah,0,2006-07-31
Vermont,0,2006-07-31
Virginia,0,2006-07-31
Washington,0,2006-07-31
West Virginia,100,2006-07-31
Wisconsin,22,2006-07-31
Wyoming,0,2006-07-31
Alabama,0,2006-08-31
